"","YEAR","All","Immature","Mature"
"1",1989,4.43961700409893,2.33489240096827,6.03687368173434
"2",1990,1.14808342419566,0.994607919149366,2.00555999653583
"3",1991,0.883916349804894,1.20367011408366,0.308126157020578
"4",1992,1.45647543066696,1.37455940090944,0.405718208421353
"5",1993,2.35506342696553,1.54229116068538,6.00009445013495
"6",1994,6.9446673748525,5.52689785814188,13.4553611733545
"7",1995,2.89802185156967,2.70543722120752,3.13541568488689
"8",1996,5.13720718520964,5.70909583698127,4.3484211469758
"9",1997,1.60177697368981,2.63854869580026,1.73611272113096
"10",1998,4.64726442238959,8.36999421213434,3.82342904394147
"11",1999,1.40207479375896,1.57707631750295,3.44072606674097
"12",2000,1.66247579641996,2.73607989299697,1.83807404490344
"13",2001,3.1572741566267,3.3787168742327,3.35481847010328
"14",2002,4.62086469437337,5.56853999393178,4.57516330572726
"15",2003,6.14319686187403,5.18259680084032,2.52933498032528
"16",2004,1.48523496673773,1.2487144410745,0.475602871986396
"17",2005,3.50801688546409,3.06503596452264,7.29821298341605
"18",2006,1.51341544141336,1.57015990455342,NA
"19",2007,0.633960220630398,0.427321419003013,1.38558366030747
"20",2008,1.47963525337506,1.87430262190708,0.622464490353399
"21",2009,2.09635408619855,2.40295935045504,1.24923650740137
"22",2010,5.83337831236812,3.81929748650698,16.1805850207421
"23",2011,8.49497009335718,9.72112202891837,6.36728154165768
"24",2012,1.37033479824787,1.53431281401212,1.82909069286891
"25",2013,1.01340675115563,1.21349665363477,1.33623994464239
"26",2014,1.11845639972768,1.08831633709912,0.710100943773916
"27",2015,6.21171273520131,5.7726882740218,1.20209216180169
"28",2016,14.7341154758865,10.085096845079,3.26617498126926
"29",2017,7.36723013991184,4.73450589730218,4.67635700326399
"30",2018,4.81380990287256,3.24529362296825,4.87379680145628
"31",2019,3.13354881056283,3.26883609307159,2.95326274214591
"32",2021,1.3499473869425,3.55540434310824,0.81469324320119
"33",2022,3.84907686478236,3.08729795783257,1.39179597896006
