"year","bottom.temp"
1975,0.792400763338189
1976,1.02049396784849
1977,2.64938019928474
1978,3.29038315715199
1979,3.88323560612624
1980,3.49398691079696
1981,3.93222730958139
1982,3.07585565187658
1983,2.7026437959408
1984,1.32070538210829
1985,1.73191054516551
1986,1.60683790338624
1987,3.75913826677209
1988,1.79786157212153
1989,3.54998407552714
1990,2.05517792378139
1991,2.44984551662057
1992,0.731371382679521
1993,2.97680803293706
1994,0.886463176468643
1995,0.865658414681209
1996,3.29905977974202
1997,2.40948217098833
1998,3.07490105332704
1999,2.02979671849418
2000,2.70753884017879
2001,3.03949473555213
2002,3.27058100571906
2003,3.91398231288471
2004,3.28199596632461
2005,3.82931971229473
2006,1.6561007588989
2007,0.796246943691626
2008,0.924140277680684
2009,0.420620599703691
2010,0.185810212643131
2011,2.66887744727483
2012,0.208082922748285
2013,0.906557224309186
2014,3.10838723308083
2015,3.52499205696849
2016,4.55175293275449
2017,2.30646829433412
2018,4.47972130774128
2019,4.28424699372645
2020,NA
2021,4.10035575822201
2022,1.93512447767612
