"period","borealization_index","order"
"preindustrial",0.21300134501537,1
"preindustrial",-1.02774110072746,1
"preindustrial",-0.876934107684559,1
"preindustrial",-1.09518217441828,1
"preindustrial",-1.56064367343497,1
"preindustrial",-3.15876289453358,1
"preindustrial",-0.598352942516761,1
"preindustrial",-1.23111604865941,1
"preindustrial",-0.831355530024183,1
"preindustrial",-1.47261584475327,1
"preindustrial",-2.55253559157129,1
"preindustrial",-1.24433502451591,1
"preindustrial",-0.805262169153198,1
"preindustrial",-1.78198726158816,1
"preindustrial",-1.10325301439702,1
"preindustrial",-1.84440856189641,1
"preindustrial",-1.49013865271734,1
"preindustrial",-0.141923447589058,1
"preindustrial",-1.97123838469866,1
"preindustrial",-2.55274525631697,1
"preindustrial",-1.66487174398243,1
"preindustrial",-2.38543038485559,1
"preindustrial",-0.93554278473614,1
"preindustrial",-1.05776892607597,1
"preindustrial",-0.575911290358806,1
"preindustrial",0.294676730608515,1
"preindustrial",-2.21850560248823,1
"preindustrial",-0.815917210922061,1
"preindustrial",-2.48451228321269,1
"preindustrial",-1.36634172675065,1
"preindustrial",-1.85982177371091,1
"preindustrial",-1.82938794585451,1
"preindustrial",0.156242825597601,1
"preindustrial",-0.73143726248608,1
"preindustrial",-0.598097434991218,1
"preindustrial",-2.52047189437873,1
"preindustrial",-1.99316012021535,1
"preindustrial",-1.85223725627935,1
"preindustrial",0.0542038330710173,1
"preindustrial",-3.43698163122844,1
"preindustrial",-1.53188430450061,1
"preindustrial",-2.15522298585801,1
"preindustrial",-0.0631383563056133,1
"preindustrial",-0.217802305307295,1
"preindustrial",-2.96254490732946,1
"preindustrial",-1.45266541963004,1
"preindustrial",-0.681528538278964,1
"preindustrial",-0.771857254058691,1
"preindustrial",-1.72847110390673,1
"preindustrial",-1.07999668903662,1
"preindustrial",-0.357452239575831,1
"preindustrial",-0.698055781004189,1
"preindustrial",-1.09563552081605,1
"preindustrial",-0.414618195440771,1
"preindustrial",1.76577957210003,1
"preindustrial",-0.729313517850127,1
"preindustrial",-2.31710401481403,1
"preindustrial",0.103343864667559,1
"preindustrial",-1.211694309053,1
"preindustrial",-2.4181409620308,1
"preindustrial",-0.0517556844803533,1
"preindustrial",-2.20747347035868,1
"preindustrial",-1.76836822933874,1
"preindustrial",-2.40638591532985,1
"preindustrial",-1.83441687833692,1
"preindustrial",-3.17008335514126,1
"preindustrial",-2.51145357387506,1
"preindustrial",-1.61711064374757,1
"preindustrial",0.396507895424456,1
"preindustrial",-0.335775709582469,1
"preindustrial",-1.77952659224458,1
"preindustrial",-0.413372434985601,1
"preindustrial",-0.920884283115394,1
"preindustrial",-1.89587479030476,1
"preindustrial",-1.35616536152396,1
"preindustrial",-2.08892363829338,1
"preindustrial",-1.07403645244698,1
"preindustrial",-0.509759925002721,1
"preindustrial",-1.388753531655,1
"preindustrial",-2.89591145737373,1
"preindustrial",-1.48521552735163,1
"preindustrial",-1.37560822098293,1
"preindustrial",-0.876298558254905,1
"preindustrial",-0.743483897854238,1
"preindustrial",-0.217802305307295,1
"preindustrial",-0.752770651585339,1
"preindustrial",-2.21073863272368,1
"preindustrial",-0.604797758395698,1
"preindustrial",-1.62238403335195,1
"preindustrial",-2.02891467657535,1
"preindustrial",-0.460673454243323,1
"preindustrial",-0.560273118718836,1
"preindustrial",-2.08246684209276,1
"preindustrial",-0.721433335056824,1
"preindustrial",-2.00591585878794,1
"preindustrial",-0.422689082384055,1
"preindustrial",-1.24242777561569,1
"preindustrial",-0.95118864971531,1
"preindustrial",-1.3478233080359,1
"preindustrial",-1.30328137180056,1
"preindustrial",-0.765822287032152,1
"preindustrial",-2.41696714369116,1
"preindustrial",-3.69047757737381,1
"preindustrial",-2.14196885982138,1
"preindustrial",-1.9647448209834,1
"preindustrial",0.582570068658332,1
"preindustrial",-1.45557114003789,1
"preindustrial",-0.122778400488608,1
"preindustrial",-2.31614835299619,1
"preindustrial",-2.03416861199499,1
"preindustrial",-0.417001681066473,1
"preindustrial",1.39284520341857,1
"preindustrial",-0.724497411195505,1
"preindustrial",-2.17179878722716,1
"preindustrial",0.684237857670515,1
"preindustrial",-1.80491982285126,1
"preindustrial",-1.10069080081504,1
"preindustrial",-0.961552951771797,1
"preindustrial",-0.568169795923984,1
"preindustrial",-0.62718247180785,1
"preindustrial",-0.814255251787949,1
"preindustrial",-0.898078249786562,1
"preindustrial",-0.907156271488893,1
"preindustrial",-2.48055076816251,1
"preindustrial",-1.67755579940266,1
"preindustrial",-0.75580069273727,1
"preindustrial",-0.559366327083014,1
"preindustrial",-0.0916025324993315,1
