"year","trend","trend2","trend3","trend3_lag1","trend_lag1","trend2_lag1","trend2_lag2","log_mean","sd","log_mean_lag1"
1972,-1.3571303304354,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,-1.36924765793572,-1.36318899418556,NA,NA,-1.3571303304354,NA,NA,NA,NA,NA
1974,-1.40218764356121,-1.38571765074846,-1.37618854397744,NA,-1.36924765793572,-1.36318899418556,NA,NA,NA,NA
1975,-1.99697597858665,-1.69958181107393,-1.58947042669453,-1.37618854397744,-1.40218764356121,-1.38571765074846,-1.36318899418556,10.4394981282233,0.158778385925089,NA
1976,-2.00353221314389,-2.00025409586527,-1.80089861176392,-1.58947042669453,-1.99697597858665,-1.69958181107393,-1.38571765074846,10.4667757710992,0.145632012589804,10.4394981282233
1977,-0.605232281687608,-1.30438224741575,-1.53524682447272,-1.80089861176392,-2.00353221314389,-2.00025409586527,-1.69958181107393,10.492592323301,0.138562475800307,10.4667757710992
1978,0.487273430555314,-0.0589794255661471,-0.707163688092062,-1.53524682447272,-0.605232281687608,-1.30438224741575,-2.00025409586527,10.2669252706797,0.140930311700275,10.492592323301
1979,1.43159821808836,0.959435824321837,0.437879788985355,-0.707163688092062,0.487273430555314,-0.0589794255661471,-1.30438224741575,10.4747218755092,0.0858189128677806,10.2669252706797
1980,0.470224806180382,0.950911512134371,0.796365484941352,0.437879788985355,1.43159821808836,0.959435824321837,-0.0589794255661471,10.2735468596156,0.102287004934771,10.4747218755092
1981,0.841218534821581,0.655721670500981,0.914347186363441,0.796365484941352,0.470224806180382,0.950911512134371,0.959435824321837,9.96158336484273,0.146213967540002,10.2735468596156
1982,0.729996085771501,0.785607310296541,0.680479808924488,0.914347186363441,0.841218534821581,0.655721670500981,0.950911512134371,9.82633249800224,0.118846107964684,9.96158336484273
1983,0.0380133536179644,0.384004719694733,0.536409324737015,0.680479808924488,0.729996085771501,0.785607310296541,0.655721670500981,9.62506152005829,0.178471665516421,9.82633249800224
1984,-0.763638462362316,-0.362812554372176,0.00145699234238291,0.536409324737015,0.0380133536179644,0.384004719694733,0.785607310296541,9.64884911379645,0.175690576886498,9.62506152005829
1985,-0.212899859868661,-0.488269161115489,-0.312841656204338,0.00145699234238291,-0.763638462362316,-0.362812554372176,0.384004719694733,8.83287412387645,0.332779348801306,9.64884911379645
1986,-0.1732239686771,-0.193061914272881,-0.383254096969359,-0.312841656204338,-0.212899859868661,-0.488269161115489,-0.362812554372176,9.65806683458888,0.148581457757835,8.83287412387645
1987,0.701667592561801,0.26422181194235,0.105181254672013,-0.383254096969359,-0.1732239686771,-0.193061914272881,-0.488269161115489,10.4276267997636,0.0463830269472564,9.65806683458888
1988,-0.347616272812793,0.177025659874504,0.0602757836906358,0.105181254672013,0.701667592561801,0.26422181194235,-0.193061914272881,10.3581336323893,0.000994337368797455,10.4276267997636
1989,1.11338944618106,0.382886586684133,0.489146921976689,0.0602757836906358,-0.347616272812793,0.177025659874504,0.26422181194235,10.04553161102,0.00470124893087686,10.3581336323893
1990,-0.472688840373539,0.32035030290376,0.0976947776649092,0.489146921976689,1.11338944618106,0.382886586684133,0.177025659874504,9.74856720701786,0.00131260671211927,10.04553161102
1991,-0.791500155545993,-0.632094497959766,-0.0502665165794908,0.0976947776649092,-0.472688840373539,0.32035030290376,0.382886586684133,10.1364312178995,0.000975477248399691,9.74856720701786
1992,-1.243455368121,-1.0174777618335,-0.835881454680178,-0.0502665165794908,-0.791500155545993,-0.632094497959766,0.32035030290376,10.1236068255675,0.0537439014552793,10.1364312178995
1993,-0.0336404285716445,-0.638547898346322,-0.689531984079546,-0.835881454680178,-1.243455368121,-1.0174777618335,-0.632094497959766,10.6331196555648,6.86034588680753e-07,10.1236068255675
1994,-0.738824011135293,-0.386232219853469,-0.671973269275979,-0.689531984079546,-0.0336404285716445,-0.638547898346322,-1.0174777618335,10.4413469796034,5.34126053080559e-05,10.6331196555648
1995,-1.14327109719025,-0.941047554162772,-0.638578512299063,-0.671973269275979,-0.738824011135293,-0.386232219853469,-0.638547898346322,10.2032663651594,0,10.4413469796034
1996,0.876557063718066,-0.133357016736092,-0.335179348202493,-0.638578512299063,-1.14327109719025,-0.941047554162772,-0.386232219853469,9.63389661958945,0.000450376423864946,10.2032663651594
1997,-0.054990599695071,0.410783232011497,-0.107234877722419,-0.335179348202493,0.876557063718066,-0.133357016736092,-0.941047554162772,8.96158443590225,0,9.63389661958945
1998,0.0743845821789763,0.00969699124195239,0.29865034873399,-0.107234877722419,-0.054990599695071,0.410783232011497,-0.133357016736092,8.6728103039579,3.94017281689031e-06,8.96158443590225
1999,-0.628113328345549,-0.276864373083287,-0.202906448620548,0.29865034873399,0.0743845821789763,0.00969699124195239,0.410783232011497,7.96546135991956,0.00489450994329661,8.6728103039579
2000,0.177331528766279,-0.225390899789635,-0.125465739133431,-0.202906448620548,-0.628113328345549,-0.276864373083287,0.00969699124195239,8.94296026356984,2.75808443398917e-06,7.96546135991956
2001,1.03406890311192,0.605700215939099,0.194429034510883,-0.125465739133431,0.177331528766279,-0.225390899789635,-0.276864373083287,9.37365892352592,0,8.94296026356984
2002,0.751730111105392,0.892899507108656,0.654376847661197,0.194429034510883,1.03406890311192,0.605700215939099,-0.225390899789635,8.39138141191039,3.76451881507269e-05,9.37365892352592
2003,0.980415078655512,0.866072594880452,0.922071364290941,0.654376847661197,0.751730111105392,0.892899507108656,0.605700215939099,9.14304364891044,0,8.39138141191039
