"year","borealization_index"
1950,-0.94963207315485
1950,-2.7473633294723
1950,-1.80966088949516
1950,-1.93207019849214
1950,-1.92596417920014
1950,-1.13006664958995
1950,-2.23552819601439
1950,-2.56490461480327
1950,-1.85819664592885
1950,-1.98600119610621
1950,-0.799131126123398
1950,-0.681581828665208
1950,-2.24228825639047
1950,-1.76237966326651
1950,-1.95521971864891
1950,-1.43044196725876
1950,-0.686529680845557
1950,-2.41305562643553
1950,-1.92485642675832
1950,-1.80483015566273
1951,-1.82545114028671
1951,-2.27489017775226
1951,-2.08653092466592
1951,-2.4139282177529
1951,-3.00361812401819
1951,-0.839809410932634
1951,-1.4254559294973
1951,-1.85343724624581
1951,-3.40970972462055
1951,-2.2026798267204
1951,-1.93045507859869
1951,-1.12257935884861
1951,-0.251759099019878
1951,-1.25613669771237
1951,-2.13869333101534
1951,-0.468930792140308
1951,-2.27169843973516
1951,-1.31710820512542
1951,-0.593001637913428
1951,-2.23617226699047
1952,-2.60795219790133
1952,-1.5198786914322
1952,-1.94176066192632
1952,-3.00418691356954
1952,-1.79985670133959
1952,-2.15199404804391
1952,-1.95845610848763
1952,-4.60714807180987
1952,-3.47522195685727
1952,-2.25826857136407
1952,-3.15905434517075
1952,-3.09805889996707
1952,-1.48118045201436
1952,-2.3055927283738
1952,-1.60468152094414
1952,-2.77724836429281
1952,-2.06624084658136
1952,-2.95738234918242
1952,-2.14482090970473
1952,-1.23778753051813
1953,-0.506243921778841
1953,-1.24458530323222
1953,-1.08154955494664
1953,-1.63360720081502
1953,-2.63240293879104
1953,-1.0220477067483
1953,-0.399783930650934
1953,0.534043607799972
1953,-0.673515773130667
1953,-0.153903189308015
1953,-1.59571066917194
1953,-0.970026280187155
1953,-1.31921675629277
1953,-0.938827673927603
1953,0.323123017857483
1953,-1.41796970113965
1953,-1.26073327043186
1953,-1.15401559711113
1953,-1.52454730372146
1953,-2.13322576689805
1954,-1.24098900035318
1954,-1.15802310504221
1954,-0.935190406111855
1954,-1.37644257780386
1954,-2.12132850521132
1954,-0.980064274913475
1954,-0.886774873569486
1954,-0.904203639194027
1954,-1.25013934995427
1954,-1.56915964757851
1954,-1.59504148139705
1954,-2.50829194683616
1954,-0.639379784070263
1954,-1.0135355709398
1954,-1.72358757870225
1954,-1.95234754021669
1954,-2.08283437940529
1954,-0.762639813214456
1954,-3.59096834492005
1954,-0.309339995852914
1955,-1.51126500703426
1955,-1.39088575502635
1955,-2.06895066898566
1955,-2.63925765594733
1955,-2.5857430178129
1955,-1.48467002951193
1955,-1.68014130219081
1955,-0.937434101390231
1955,-1.74701803195965
1955,-2.9727615082577
1955,-1.43236330282152
1955,-1.8502539398857
1955,-2.42877797730437
1955,-2.02489195071548
1955,-2.02091676018968
1955,-0.751445496512374
1955,-2.1095102009237
1955,-2.10666589538357
1955,-0.908534058275765
1955,-1.13210975263428
1956,-0.257195493568908
1956,-1.86130913828092
1956,-1.08925872578521
1956,-1.63404300503804
1956,-0.879361069919327
1956,-1.61908654472981
1956,-1.87558706640753
1956,-1.39033356596332
1956,-1.4331376327815
1956,-2.14282502944168
1956,-0.607099764458422
1956,-2.00500032984444
1956,-0.787506613628267
1956,-1.08266849620166
1956,-0.600454872023511
1956,-0.368711057608189
1956,-2.45763395271684
1956,-1.34759526868289
1956,-0.172573887022184
1956,-1.81689377238314
1957,-0.542308883834101
1957,1.59248844875504
1957,0.139575544395893
1957,0.00353668499527665
1957,-0.288148328629461
1957,0.146636058935664
1957,-0.680905605972019
1957,0.292953835507508
1957,-1.81861658402297
1957,-0.812203845242394
1957,0.396355941155396
1957,0.449248083278378
1957,-0.905728442441069
1957,-0.313246745451251
1957,0.73108644379616
1957,0.582062869413248
1957,-0.0659263291141044
1957,-1.18123054036976
1957,-0.463871495820491
1957,-0.276724041008235
1958,-0.411225853899628
1958,0.11307939817928
1958,-0.00703494595053977
1958,-0.885730499021729
1958,-1.39722973880125
1958,-0.658313840100273
1958,-1.13635531229169
1958,0.452783763323868
1958,-0.507576946810354
1958,-1.19625285972852
1958,-1.36251795949375
1958,-1.10706684075039
1958,-0.0946084062178862
1958,-0.900479651082947
1958,-0.735622360814125
1958,-0.187703786610431
1958,-0.0287299097244728
1958,0.265570004085091
1958,-0.755945856385145
1958,-1.43027145126658
1959,-1.48269398568932
1959,-0.502881475058184
1959,-1.32135719638286
1959,-0.869046746256898
1959,-2.18553349047694
1959,-0.540911996212238
1959,-1.16483273883687
1959,-0.931458816073326
1959,-1.75840661319234
1959,-0.530027662233946
1959,-1.32472156827638
1959,0.160093291793374
1959,-0.699838478030093
1959,-1.73020757621203
1959,-1.30445566907213
1959,-0.933002812342049
1959,-0.773497674295187
1959,-0.384846040747372
1959,-0.508740321805498
1959,-1.39330392297958
1960,-0.973270789218628
1960,-0.759984442738489
1960,-0.314549717605171
1960,-1.14550907367842
1960,0.833204909539422
1960,-1.01554734644375
1960,0.427130623979649
1960,-0.68447331438159
1960,0.103824201750697
1960,-1.04376150455339
1960,-0.445229235440685
1960,-0.447699727708353
1960,0.466709305522133
1960,-1.09943206262143
1960,-1.90479545550614
1960,-1.36423450320206
1960,-1.32722172815195
1960,-0.363384552185431
1960,-1.2665774183502
1960,0.173172190787024
1961,-2.01834712479053
1961,-1.23409836609221
1961,-1.13829994339273
1961,0.215592043904272
1961,-2.06461115072855
1961,-1.30086402064443
1961,-0.640465610943644
1961,-0.970963904427393
1961,-0.936914199931362
1961,-1.99824021759922
1961,-1.11832055629154
1961,-0.753484186096858
1961,-0.511330531237591
