"","year","log_mean","sd","log_mean_lag1"
"1",1975,10.0592626420762,0.193286083397289,NA
"2",1976,10.0836348846204,0.181359891426523,10.0592626420762
"3",1977,9.96917495537094,0.244799650234349,10.0836348846204
"4",1978,9.91205338294932,0.212392718152501,9.96917495537094
"5",1979,10.3026505240585,0.0870945958005903,9.91205338294932
"6",1980,9.73593760787766,0.180008024536841,10.3026505240585
"7",1981,8.9684998563248,0.336310192747366,9.73593760787766
"8",1982,8.79649292973978,0.375841547765336,8.9684998563248
"9",1983,8.49469937962075,0.418818714215337,8.79649292973978
"10",1984,9.15974019698397,0.240029369147469,8.49469937962075
"11",1985,8.2532282638903,0.422662180536737,9.15974019698397
"12",1986,9.161647136441,0.214793630470719,8.2532282638903
"13",1987,10.1532154920632,0.0433420130530019,9.161647136441
"14",1988,9.14196646509491,0.00363206414488406,10.1532154920632
"15",1989,8.53027134176257,3.99095391275605e-05,9.14196646509491
"16",1990,9.17191966426728,0.00763070997007081,8.53027134176257
"17",1991,9.68319805731215,0.00329057695234208,9.17191966426728
"18",1992,9.81068609655857,0.0580744390842934,9.68319805731215
"19",1993,10.2303020464165,NA,9.81068609655857
"20",1994,10.1898229228777,0.000201967556066006,10.2303020464165
"21",1995,9.22054022613555,NA,10.1898229228777
"22",1996,7.85453442030108,0.00192725630780775,9.22054022613555
"23",1997,7.34978392811497,NA,7.85453442030108
"24",1998,8.16675342439364,NA,7.34978392811497
"25",1999,7.51437759300198,0.01573790266919,8.16675342439364
"26",2000,8.18471742242146,NA,7.51437759300198
"27",2001,8.29110072181268,NA,8.18471742242146
"28",2002,6.98605432484238,7.96510309458346e-05,8.29110072181268
"29",2003,8.50410018900636,NA,6.98605432484238
"30",2004,8.92066913533645,1.39036776158839e-05,8.50410018900636
"31",2005,9.15038619820958,0.000838258653821745,8.92066913533645
"32",2006,8.72644494424439,0.16238404665035,9.15038619820958
"33",2007,8.73939897330936,NA,8.72644494424439
"34",2008,7.54901443680014,NA,8.73939897330936
"35",2009,9.25307976461289,NA,7.54901443680014
"36",2010,10.3365864034819,NA,9.25307976461289
"37",2011,9.26994896132959,NA,10.3365864034819
"38",2012,9.1936818057823,NA,9.26994896132959
"39",2013,9.03088479534239,NA,9.1936818057823
"40",2014,9.48407448457192,NA,9.03088479534239
"41",2015,9.61910111296301,NA,9.48407448457192
"42",2016,9.99229708079686,NA,9.61910111296301
"43",2017,10.1686878426462,NA,9.99229708079686
"44",2018,10.2347141113184,NA,10.1686878426462
"45",2019,7.15818380306532,NA,10.2347141113184
"46",2020,NA,NA,7.15818380306532
"47",2021,4.57135902183516,NA,NA
"48",2022,8.92720428677546,NA,4.57135902183516
