"model","period","ersst.year","borealization_index","annual.events"
"CIESM","historical",1952,-3.09805889996707,1
"CIESM","historical",1952,-3.09805889996707,1
"CIESM","historical",1952,-3.09805889996707,1
"CIESM","historical",1952,-3.09805889996707,1
"CIESM","historical",1952,-3.09805889996707,1
"CIESM","historical",1952,-3.09805889996707,1
"CIESM","historical",1952,-3.09805889996707,1
"CIESM","historical",1952,-3.09805889996707,1
"CIESM","historical",1952,-1.48118045201436,0
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,0
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,0
"CIESM","historical",1952,-1.48118045201436,0
"CIESM","historical",1952,-1.48118045201436,0
"CIESM","historical",1952,-1.48118045201436,0
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,0
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-1.48118045201436,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,0
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,0
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
"CIESM","historical",1952,-2.3055927283738,1
