"sst.anomaly","trend","cond__","effect1__","estimate__","se__","lower__","upper__"
-1.57496355658535,-0.0500041980849522,"1",-1.57496355658535,-1.8850747490006,0.319196168703054,-2.62107010957535,-1.18287299014782
-1.57377778810831,-0.0500041980849522,"1",-1.57377778810831,-1.8843192584187,0.319228780608256,-2.61908055718306,-1.18232585211175
-1.57259201963128,-0.0500041980849522,"1",-1.57259201963128,-1.88360865730913,0.318920748680386,-2.61759349094696,-1.18177871532145
-1.57140625115424,-0.0500041980849522,"1",-1.57140625115424,-1.88272679812992,0.318555212435744,-2.61633359721465,-1.18123158102271
-1.5702204826772,-0.0500041980849522,"1",-1.5702204826772,-1.88181569141639,0.31843097440508,-2.61506510302824,-1.1806844504613
-1.56903471420017,-0.0500041980849522,"1",-1.56903471420017,-1.88093095363882,0.318313338058434,-2.61338970942686,-1.1801883845059
-1.56784894572313,-0.0500041980849522,"1",-1.56784894572313,-1.88004484319536,0.318275294003756,-2.61155527292146,-1.18038030103673
-1.56666317724609,-0.0500041980849522,"1",-1.56666317724609,-1.87927358617902,0.318201506504382,-2.60971645009594,-1.18095074871382
-1.56547740876906,-0.0500041980849522,"1",-1.56547740876906,-1.87844219389218,0.317869168119348,-2.60787764431696,-1.18152116961508
-1.56429164029202,-0.0500041980849522,"1",-1.56429164029202,-1.87767423589835,0.317703207679034,-2.60603885801974,-1.18209155991538
-1.56310587181498,-0.0500041980849522,"1",-1.56310587181498,-1.87698774426546,0.317484727060817,-2.60420009363948,-1.18266935445128
-1.56192010333795,-0.0500041980849522,"1",-1.56192010333795,-1.87608861683864,0.31718020448509,-2.60236135361142,-1.18326072595282
-1.56073433486091,-0.0500041980849522,"1",-1.56073433486091,-1.87528190557087,0.316715325036149,-2.60052264037077,-1.1838520544095
-1.55954856638387,-0.0500041980849522,"1",-1.55954856638387,-1.87438678204005,0.316944671898478,-2.59870447700886,-1.18444333590817
-1.55836279790683,-0.0500041980849522,"1",-1.55836279790683,-1.87344156079769,0.316653554281048,-2.59740959544544,-1.18503456653565
-1.5571770294298,-0.0500041980849522,"1",-1.5571770294298,-1.87237418946845,0.316538624317242,-2.59557749001429,-1.18477744303761
-1.55599126095276,-0.0500041980849522,"1",-1.55599126095276,-1.87156015083639,0.316299730579508,-2.59359695510185,-1.18442109898665
-1.55480549247572,-0.0500041980849522,"1",-1.55480549247572,-1.87094451189271,0.315949072362711,-2.59132956121136,-1.18406477826234
-1.55361972399869,-0.0500041980849522,"1",-1.55361972399869,-1.87026155740264,0.315878726438992,-2.58949105983477,-1.1837084823226
-1.55243395552165,-0.0500041980849522,"1",-1.55243395552165,-1.8693483368196,0.315456698340251,-2.58772745862394,-1.18338823896559
-1.55124818704461,-0.0500041980849522,"1",-1.55124818704461,-1.8686112949103,0.315348548533041,-2.5860632346188,-1.1836661683399
-1.55006241856758,-0.0500041980849522,"1",-1.55006241856758,-1.86775944041632,0.315355910598222,-2.58452558231626,-1.18368947333754
-1.54887665009054,-0.0500041980849522,"1",-1.54887665009054,-1.86697873011558,0.314737069173333,-2.58274339316013,-1.18330468936098
