"period","borealization_index","order"
"preindustrial",-1.41666218993945,1
"preindustrial",-1.84170957428367,1
"preindustrial",-1.200551205578,1
"preindustrial",-1.54324578474961,1
"preindustrial",-1.7454231203638,1
"preindustrial",-2.06017703905909,1
"preindustrial",-1.0732467712864,1
"preindustrial",0.383266325060721,1
"preindustrial",-0.654723088426985,1
"preindustrial",-0.637230828825749,1
"preindustrial",0.0267398828371287,1
"preindustrial",-1.52112881992292,1
"preindustrial",-1.35971806088247,1
"preindustrial",-0.267519503854975,1
"preindustrial",-0.790128974826305,1
"preindustrial",-0.645014008957242,1
"preindustrial",0.222510639461832,1
"preindustrial",-2.19334726552787,1
"preindustrial",-1.59349661250429,1
"preindustrial",0.446567825066555,1
"preindustrial",-0.574331252364158,1
"preindustrial",-1.32658296814881,1
"preindustrial",-0.777515841097353,1
"preindustrial",-2.82711979855972,1
"preindustrial",0.124341033376964,1
"preindustrial",0.126179906677133,1
"preindustrial",-2.13220807426337,1
"preindustrial",-0.883286889916868,1
"preindustrial",-2.32525709596508,1
"preindustrial",-0.196987790031889,1
"preindustrial",-0.141923447589058,1
"preindustrial",-1.51086487651018,1
"preindustrial",0.14574727119789,1
"preindustrial",-2.48055076816251,1
"preindustrial",-3.1318137420806,1
"preindustrial",-2.55253559157129,1
"preindustrial",-0.675408644058946,1
"preindustrial",-1.18411565268149,1
"preindustrial",-2.1175358052347,1
"preindustrial",0.652776361592772,1
"preindustrial",-0.254342071617471,1
"preindustrial",-2.45611691496675,1
"preindustrial",-3.58461465538584,1
"preindustrial",-0.155493399666637,1
"preindustrial",-0.00505768437116438,1
"preindustrial",0.311997802317677,1
"preindustrial",1.08014660300573,1
"preindustrial",-1.28607403819605,1
"preindustrial",-1.21414250083576,1
"preindustrial",-0.941517700560295,1
"preindustrial",-2.07534925497423,1
"preindustrial",-1.13401042242476,1
"preindustrial",0.246702904571232,1
"preindustrial",-1.77689699031487,1
"preindustrial",-1.5517427969876,1
"preindustrial",0.942470113134406,1
"preindustrial",-3.08958876751347,1
"preindustrial",-0.710361657042257,1
"preindustrial",-1.1501234147899,1
"preindustrial",0.859919239135809,1
"preindustrial",-3.07050475582718,1
"preindustrial",-2.63836057255511,1
"preindustrial",-0.0656731726882829,1
"preindustrial",-1.68675904701421,1
"preindustrial",-3.75537248101549,1
"preindustrial",-1.98091198661956,1
"preindustrial",-0.698373380369079,1
"preindustrial",1.35270891850624,1
"preindustrial",-1.5985185937059,1
"preindustrial",-1.38648222543012,1
"preindustrial",-1.37560822098293,1
"preindustrial",0.981451674416033,1
"preindustrial",0.00128436006732827,1
"preindustrial",-1.36063190731557,1
"preindustrial",-2.36706193376885,1
"preindustrial",-1.35028972963934,1
"preindustrial",-1.54213567388329,1
"preindustrial",-0.0531183608807084,1
"preindustrial",-0.911903775823671,1
"preindustrial",-2.19487190358874,1
"preindustrial",-2.29499747902528,1
"preindustrial",-1.85054118916998,1
"preindustrial",-0.212700017642629,1
"preindustrial",-2.13862162521378,1
"preindustrial",-0.912721753914674,1
"preindustrial",1.44728889557972,1
"preindustrial",-3.31700080892321,1
"preindustrial",-0.73958631913221,1
"preindustrial",-2.34452496045644,1
"preindustrial",-0.840272632254082,1
"preindustrial",-1.30869247441103,1
"preindustrial",-0.394286403033512,1
"preindustrial",0.877001438924301,1
"preindustrial",-1.11976891348817,1
"preindustrial",-1.55647954745538,1
"preindustrial",-0.843210245206997,1
"preindustrial",-1.45367328446212,1
"preindustrial",-2.38616787524875,1
"preindustrial",-0.569189511380597,1
"preindustrial",0.373175491926608,1
"preindustrial",-1.63250362702892,1
"preindustrial",-2.12740890781383,1
"preindustrial",-0.78051994152783,1
"preindustrial",-0.598352942516761,1
"preindustrial",0.298157587375137,1
"preindustrial",-2.2378993361716,1
"preindustrial",-2.03828424436204,1
"preindustrial",0.194400159868017,1
"preindustrial",-0.301203980091653,1
"preindustrial",-1.39252897231193,1
"preindustrial",-1.98144125893356,1
"preindustrial",-1.31538684888407,1
"preindustrial",-1.59712771389266,1
"preindustrial",-0.675570685633692,1
"preindustrial",-0.431143131844388,1
"preindustrial",0.21300134501537,1
"preindustrial",-1.84922079865073,1
"preindustrial",-1.33485030813414,1
"preindustrial",-2.3451701642129,1
"preindustrial",-2.49740676289666,1
"preindustrial",-0.395741228657638,1
"preindustrial",-1.83009008633058,1
"preindustrial",-0.238036476114942,1
"preindustrial",0.12499750175379,1
"preindustrial",-0.62047408351839,1
"preindustrial",-2.41863250874032,1
"preindustrial",-2.10051164016045,1
"preindustrial",-0.766353333057014,1
"preindustrial",-0.911903775823671,1
"preindustrial",0.222276084317552,1
"preindustrial",-3.57514505586325,1
"preindustrial",-3.16514884339487,1
"preindustrial",0.909187744679558,1
"preindustrial",-2.37996180000069,1
"preindustrial",0.597420165143165,1
"preindustrial",0.683279380595483,1
"preindustrial",-1.25513983546108,1
"preindustrial",-0.501334429877271,1
"preindustrial",0.0514458036729436,1
"preindustrial",-1.9521668895643,1
"preindustrial",-0.637230828825749,1
"preindustrial",-2.93360284104447,1
"preindustrial",-0.289393318039441,1
"preindustrial",-1.5097480377265,1
"preindustrial",-0.142411990142801,1
"preindustrial",-2.20768639440854,1
"preindustrial",-1.67040166990634,1
"preindustrial",-3.18834962958549,1
"preindustrial",-2.76957472858898,1
"preindustrial",0.396507895424456,1
"preindustrial",-0.276385986106657,1
"preindustrial",-1.96772149371092,1
"preindustrial",-1.86970451809182,1
"preindustrial",-0.979136003357525,1
"preindustrial",-3.46502636490467,1
"preindustrial",-0.745977248796305,1
"preindustrial",-0.501334429877271,1
"preindustrial",-0.403604558528374,1
"preindustrial",-1.55255168521882,1
"preindustrial",-0.407042753850986,1
"preindustrial",-1.30744619238058,1
"preindustrial",-0.561621365366334,1
"preindustrial",-1.5766747053296,1
"preindustrial",-0.256123091237453,1
"preindustrial",-1.73612077740578,1
"preindustrial",-2.60378581097017,1
"preindustrial",-1.7129139763331,1
"preindustrial",-1.31222764481074,1
"preindustrial",1.00394060411313,1
"preindustrial",-2.27388198184766,1
"preindustrial",-0.269117039222967,1
"preindustrial",-2.68287891529333,1
"preindustrial",-1.61507078018168,1
"preindustrial",-0.50395544236094,1
"preindustrial",-1.35528931135355,1
"preindustrial",-0.937512867097437,1
"preindustrial",-0.949531692231904,1
"preindustrial",-0.45747958767069,1
"preindustrial",-0.79913662419803,1
"preindustrial",-0.499106747185858,1
"preindustrial",-1.12826507642453,1
"preindustrial",0.838342071278277,1
"preindustrial",-0.431088309047819,1
"preindustrial",-1.28877797067309,1
"preindustrial",-0.113061119119827,1
"preindustrial",-0.743483897854238,1
"preindustrial",-0.964084790285515,1
"preindustrial",-1.51086487651018,1
"preindustrial",-0.168268440736354,1
"preindustrial",-1.4178699507436,1
"preindustrial",-1.77342499834608,1
"preindustrial",-0.961552951771797,1
"preindustrial",-1.75213927214745,1
"preindustrial",-1.86441148803234,1
"preindustrial",-0.245041747469547,1
"preindustrial",-1.21771760732338,1
"preindustrial",-0.747343734955515,1
"preindustrial",-0.0981912266518621,1
"preindustrial",-0.835447556653232,1
"preindustrial",-0.633686250699907,1
"preindustrial",-3.21179530750285,1
"preindustrial",-1.52062455135781,1
"preindustrial",-0.272160652091684,1
"preindustrial",-1.06888632209716,1
"preindustrial",-0.788932602450168,1
"preindustrial",0.0127130349489379,1
"preindustrial",-0.664806779731024,1
