"model","year","borealization_index"
"ACCESS-CM2",1971,-1.33998082755501
"ACCESS-CM2",1971,0.130905438060799
"ACCESS-CM2",1971,-0.633376395706821
"ACCESS-CM2",1972,-0.176715855704043
"ACCESS-CM2",1972,-1.75277984197678
"ACCESS-CM2",1972,-1.24581111778534
"ACCESS-CM2",1972,-1.11187084229977
"ACCESS-CM2",1973,-1.5774584474122
"ACCESS-CM2",1973,-0.139465431826463
"ACCESS-CM2",1973,-1.75496896562562
"ACCESS-CM2",1973,-2.77108503710592
"ACCESS-CM2",1974,-1.7201760520015
"ACCESS-CM2",1974,-2.18171346421632
"ACCESS-CM2",1974,-0.274592021683747
"ACCESS-CM2",1974,-2.11640001989112
"ACCESS-CM2",1975,-0.070585001726855
"ACCESS-CM2",1975,-1.09675157774428
"ACCESS-CM2",1975,-0.39861135933206
"ACCESS-CM2",1975,-1.03574529314868
"ACCESS-CM2",1976,-1.10037794304546
"ACCESS-CM2",1976,-2.11934440349207
"ACCESS-CM2",1976,-2.01135440063372
"ACCESS-CM2",1976,-1.56947115464175
"ACCESS-CM2",1977,-1.261923081637
"ACCESS-CM2",1977,-0.476573828771965
"ACCESS-CM2",1977,-0.539618069783607
"ACCESS-CM2",1977,-0.459452787583173
"ACCESS-CM2",1978,0.49364275140815
"ACCESS-CM2",1978,0.567007283865418
"ACCESS-CM2",1978,0.214192330593923
"ACCESS-CM2",1978,0.194355344286343
"ACCESS-CM2",1979,-0.071382105311349
"ACCESS-CM2",1979,-1.23149931371257
"ACCESS-CM2",1979,-1.7264442623245
"ACCESS-CM2",1979,-0.45995513525734
"ACCESS-CM2",1980,-2.87446455206097
"ACCESS-CM2",1980,-1.64294074108277
"ACCESS-CM2",1980,-1.77212588594815
"ACCESS-CM2",1980,-1.08318039548539
"ACCESS-CM2",1981,-1.54713138949954
"ACCESS-CM2",1981,-1.66908995934562
"ACCESS-CM2",1981,-0.313841794123563
"ACCESS-CM2",1981,-0.152351750423881
"ACCESS-CM2",1982,1.07940034347585
"ACCESS-CM2",1982,0.291479661931741
"ACCESS-CM2",1982,0.98301597827064
"ACCESS-CM2",1982,1.86617915544674
"ACCESS-CM2",1983,0.332690000106095
"ACCESS-CM2",1983,0.288360850219944
"ACCESS-CM2",1983,-0.0312568446474981
"ACCESS-CM2",1983,0.917985628628556
"ACCESS-CM2",1984,-0.421644498765269
"ACCESS-CM2",1984,-0.137847568925818
"ACCESS-CM2",1984,-0.880782778248024
"ACCESS-CM2",1984,-0.293124092171437
"ACCESS-CM2",1985,-0.11531672098921
"ACCESS-CM2",1985,-0.848071227594535
"ACCESS-CM2",1985,-0.461745576913949
"ACCESS-CM2",1985,-0.949104492819003
"ACCESS-CM2",1986,-0.85458283760747
"ACCESS-CM2",1986,-1.26404170394079
"ACCESS-CM2",1986,-1.10884699338973
"ACCESS-CM2",1986,-0.828925943122376
"ACCESS-CM2",1987,-1.57567695021955
"ACCESS-CM2",1987,-2.53697407838318
"ACCESS-CM2",1987,-1.22887348468579
"ACCESS-CM2",1987,-1.1578881316927
"ACCESS-CM2",1988,-1.36343414297474
"ACCESS-CM2",1988,-0.776331500742164
"ACCESS-CM2",1988,-1.14605598628976
"ACCESS-CM2",1988,-0.851590098729779
"ACCESS-CM2",1989,-0.642078337096662
"ACCESS-CM2",1989,-1.15999247529851
"ACCESS-CM2",1989,-2.64455336684557
"ACCESS-CM2",1989,-0.289484137520381
"ACCESS-CM2",1990,-0.50068026653253
"ACCESS-CM2",1990,-2.26463190095937
"ACCESS-CM2",1990,-1.65646236568404
"ACCESS-CM2",1990,-1.07212920308814
"ACCESS-CM2",1991,-0.324740630668469
"ACCESS-CM2",1991,-0.128469277105108
"ACCESS-CM2",1991,-0.308085072146026
"ACCESS-CM2",1991,-0.819657783240149
"ACCESS-CM2",1992,-1.44288298560968
"ACCESS-CM2",1992,-0.901663681384483
"ACCESS-CM2",1992,-0.28149364596494
"ACCESS-CM2",1992,-0.409341877209588
"ACCESS-CM2",1993,-2.21887649756724
"ACCESS-CM2",1993,-1.1443112853105
"ACCESS-CM2",1993,-1.29237574581086
"ACCESS-CM2",1993,-1.08630209991419
"ACCESS-CM2",1994,-1.12580526369353
"ACCESS-CM2",1994,-0.0955935419430789
"ACCESS-CM2",1994,-0.378571235239345
"ACCESS-CM2",1994,-0.257543242864049
"ACCESS-CM2",1995,-0.384970049808948
"ACCESS-CM2",1995,0.697128002005138
"ACCESS-CM2",1995,-0.730313332023361
"ACCESS-CM2",1995,-0.449169629230829
"ACCESS-CM2",1996,-1.31895333025001
"ACCESS-CM2",1996,1.07834479599178
"ACCESS-CM2",1996,1.20572152219867
"ACCESS-CM2",1996,-0.712464757045139
"ACCESS-CM2",1997,-0.660516505074719
"ACCESS-CM2",1997,-0.727374683094115
"ACCESS-CM2",1997,-0.640930821156698
"ACCESS-CM2",1997,-0.755121734108611
"ACCESS-CM2",1998,-0.854136768679081
"ACCESS-CM2",1998,-0.742347667988288
"ACCESS-CM2",1998,-0.15861477551484
"ACCESS-CM2",1998,-0.482204090857742
"ACCESS-CM2",1999,-0.277215943154105
"ACCESS-CM2",1999,-1.3528513637188
"ACCESS-CM2",1999,-0.994125849813865
"ACCESS-CM2",1999,-1.44224019752544
"ACCESS-CM2",2000,0.346471052350976
"ACCESS-CM2",2000,-1.21366044082765
"ACCESS-CM2",2000,-1.24448953816094
"ACCESS-CM2",2000,-0.945396823643415
"ACCESS-CM2",2001,-0.0555034772988194
"ACCESS-CM2",2001,-1.54823425582794
"ACCESS-CM2",2001,-0.687660211835776
"ACCESS-CM2",2001,-0.755090286976924
"ACCESS-CM2",2002,-0.334645945413184
"ACCESS-CM2",2002,-0.313499167494369
"ACCESS-CM2",2002,-0.296326329031247
"ACCESS-CM2",2002,-0.615825385719012
"ACCESS-CM2",2003,-0.344842523984275
"ACCESS-CM2",2003,-1.2480890183298
"ACCESS-CM2",2003,-0.565777818521177
"ACCESS-CM2",2003,-1.12518237869167
"ACCESS-CM2",2004,-0.878874325200701
"ACCESS-CM2",2004,-0.751908100901458
"ACCESS-CM2",2004,-0.877377981603957
"ACCESS-CM2",2004,-1.43445071868365
"ACCESS-CM2",2005,-1.47274517477544
"ACCESS-CM2",2005,-1.42080824409758
"ACCESS-CM2",2005,-0.849766722036086
"ACCESS-CM2",2005,-0.766768682874678
"ACCESS-CM2",2006,-0.694445044772781
"ACCESS-CM2",2006,0.037519984072287
"ACCESS-CM2",2006,-2.00052535987431
"ACCESS-CM2",2006,-0.801556250673107
"ACCESS-CM2",2007,-1.68315999110152
"ACCESS-CM2",2007,-1.13286149571328
"ACCESS-CM2",2007,-0.715597688799714
"ACCESS-CM2",2007,-0.62072070734854
"ACCESS-CM2",2008,-1.00361721041769
"ACCESS-CM2",2008,0.343436123800968
"ACCESS-CM2",2008,-0.668745419782836
"ACCESS-CM2",2008,-1.25583915048313
"ACCESS-CM2",2009,-0.2119605627663
"ACCESS-CM2",2009,-0.473760852917149
"ACCESS-CM2",2009,-1.13568548313715
"ACCESS-CM2",2009,0.201457411365291
"ACCESS-CM2",2010,-0.844246729504479
"ACCESS-CM2",2010,-0.901453662212487
"ACCESS-CM2",2010,-1.22408151963921
"ACCESS-CM2",2010,-1.53779027823426
"ACCESS-CM2",2011,-1.96925770044097
"ACCESS-CM2",2011,-2.08964183527212
"ACCESS-CM2",2011,-1.11972365436815
"ACCESS-CM2",2011,-1.93767508471347
"ACCESS-CM2",2012,-1.86608884514576
"ACCESS-CM2",2012,-1.83093442896725
"ACCESS-CM2",2012,-1.18232273454885
"ACCESS-CM2",2012,-1.44297669683354
"ACCESS-CM2",2013,-1.7831424426488
"ACCESS-CM2",2013,-0.868396497763271
"ACCESS-CM2",2013,-0.166707178146243
"ACCESS-CM2",2013,-1.02858513437225
"ACCESS-CM2",2014,-0.678097036414519
"ACCESS-CM2",2014,-0.335248587032767
"ACCESS-CM2",2014,-1.05450500902536
"ACCESS-CM2",2014,-0.287326568090703
"ACCESS-CM2",2015,1.02506780814699
"ACCESS-CM2",2015,0.764297474308113
"ACCESS-CM2",2015,-0.536354159154826
"ACCESS-CM2",2015,0.973297864188319
"ACCESS-CM2",2016,0.673689159342582
"ACCESS-CM2",2016,0.60815391395013
"ACCESS-CM2",2016,0.00840171624958386
"ACCESS-CM2",2016,0.433963592377692
"ACCESS-CM2",2017,1.26192656125816
"ACCESS-CM2",2017,0.359955876236137
"ACCESS-CM2",2017,1.35356121674046
"ACCESS-CM2",2017,0.591438035528719
"ACCESS-CM2",2018,0.543132113305195
"ACCESS-CM2",2018,-0.19959279679509
"ACCESS-CM2",2018,0.0824729857857485
"ACCESS-CM2",2018,0.617139531580112
"ACCESS-CM2",2019,0.873919717484251
"ACCESS-CM2",2019,1.0251157755855
"ACCESS-CM2",2019,1.67374417931523
"ACCESS-CM2",2019,0.633859780625275
"ACCESS-CM2",2020,0.917921695619919
"ACCESS-CM2",2020,0.789067851063624
"ACCESS-CM2",2020,0.308406318000489
"ACCESS-CM2",2020,1.13158253811595
"ACCESS-CM2",2021,1.68729610686431
"ACCESS-CM2",2021,0.566025556688071
"ACCESS-CM2",2021,0.722028162336088
"ACCESS-CM2",2021,0.123900879335615
"ACCESS-CM2",2022,-0.821572313924426
"ACCESS-CM2",2022,-0.910084352640004
"ACCESS-CM2",2022,-0.922244032789079
"ACCESS-CM2",2022,-0.702945467976021
