"year","Bottom_temp","SD"
1972,0.76556919908035,0.50429727963851
1973,0.846522455617003,0.614599749853454
1974,1.06016962413629,0.747873873528563
1975,0.792400763338189,NA
1976,1.02049396784849,NA
1977,2.64938019928474,NA
1978,3.29038315715199,NA
1979,3.88323560612624,NA
1980,3.49398691079696,NA
1981,3.93222730958139,NA
1982,3.07585565187658,NA
1983,2.7026437959408,NA
1984,1.32070538210829,NA
1985,1.73191054516551,NA
1986,1.60683790338624,NA
1987,3.75913826677209,NA
1988,1.79786157212153,NA
1989,3.54998407552714,NA
1990,2.05517792378139,NA
1991,2.44984551662057,NA
1992,0.731371382679521,NA
1993,2.97680803293706,NA
1994,0.886463176468643,NA
1995,0.865658414681209,NA
1996,3.29905977974202,NA
1997,2.40948217098833,NA
1998,3.07490105332704,NA
1999,2.02979671849418,NA
2000,2.70753884017879,NA
2001,3.03949473555213,NA
2002,3.27058100571906,NA
2003,3.91398231288471,NA
2004,3.28199596632461,NA
2005,3.82931971229473,NA
2006,1.6561007588989,NA
2007,0.796246943691626,NA
2008,0.924140277680684,NA
2009,0.420620599703691,NA
2010,0.185810212643131,NA
2011,2.66887744727483,NA
2012,0.208082922748285,NA
2013,0.906557224309186,NA
2014,3.10838723308083,NA
2015,3.52499205696849,NA
2016,4.55175293275449,NA
2017,2.30646829433412,NA
2018,4.47972130774128,NA
2019,4.28424699372645,NA
2020,3.4518708624748,0.663481197858507
2021,4.10035575822201,NA
2022,1.93512447767612,NA
