"","year","imp_log_mean","imp_sd","wtd_log_mean","unwtd_log_mean","n_stations"
"1",1975,6.00495653120618,0.674708889270924,2.49540549968963,2.49540549968963,85
"2",1976,6.08273703937983,0.503917201404851,3.73346321316099,3.73346321316099,148
"3",1977,6.15418691838155,0.629240537241057,3.59723890022546,3.59723890022546,104
"4",1978,5.39853336882948,0.441515075759731,3.6275026876682,3.6275026876682,176
"5",1979,4.88324248525694,0.466284406778236,2.80840079388895,2.80840079388895,152
"6",1980,4.85064836106296,0.153414906293376,3.13582663829105,3.13582663829105,234
"7",1981,4.99930157057105,0.246623915254388,3.15892218093006,3.2237283181386,244
"8",1982,4.71452308167715,0.144181892981067,3.12194158725263,3.20263070403938,257
"9",1983,3.57343082378349,0.149929371679488,2.41585073317194,2.73777019974332,263
"10",1984,4.1019331781524,0.141587116230004,2.58447557966066,2.79580037036819,265
"11",1985,3.18485400925933,0.138631440042208,1.92672845910659,2.32892223102347,264
"12",1986,4.05867778860931,0.143531126024694,2.49285755928558,2.88884839004695,264
"13",1987,4.90061667231033,0.0565026730729884,3.33094653490323,3.96639133171217,268
"14",1988,4.82127896925116,0.00361897830574618,3.49434832471501,3.87416755667942,282
"15",1989,3.99227824168247,0.00469483308545083,2.89028434525728,3.17816673592596,284
"16",1990,3.6314900511878,0.00280277304571551,2.61655587600579,2.81228263018034,282
"17",1991,3.81389491190587,0.00207873975617496,2.77015709325995,3.00905900613893,282
"18",1992,4.61901882669446,0.137842528290579,3.10178581825503,3.18167247787298,269
"19",1993,5.20533123399392,NA,3.72908132057374,4.14551495327367,285
"20",1994,4.9178302773933,0.00131169886084996,3.5297923869273,3.68238729314083,284
"21",1995,4.49802998211984,NA,3.22277295821017,3.5583229871861,285
"22",1996,3.27327854425305,0.00110889702608263,2.34626980575356,2.50916986719125,284
"23",1997,2.48333187129618,NA,1.78653115014599,1.76322264826971,285
"24",1998,2.99260086437587,NA,2.16564630820988,2.15571844972355,285
"25",1999,3.47990617869897,0.00122362394181094,2.52740566896909,2.61270344839653,284
"26",2000,3.88639410643605,NA,2.81623663909968,3.00026265940715,285
"27",2001,3.39439845059312,NA,2.43962244067178,2.69923198642586,285
"28",2002,1.86098670702172,0.00236201975747339,1.3369174212467,1.434685901683,284
"29",2003,2.08909134717868,NA,1.50229190875144,1.4923426194641,285
"30",2004,2.93939591914595,0.00906351673489981,2.10257123389799,2.46330980189618,284
"31",2005,3.01654220138174,0.012341985481642,2.15622811118662,2.61349502828139,282
"32",2006,2.70937766979473,0.0121840845686934,1.91302209080463,2.24825605014549,284
"33",2007,2.88022625894307,NA,2.06036422666318,2.37838129170986,285
"34",2008,2.83229788417021,NA,2.03442280401116,2.29666247131677,285
"35",2009,3.69477783470003,NA,2.64546703924849,2.96529645919265,285
"36",2010,4.36144086414495,NA,3.12812375010381,3.36303393635828,285
"37",2011,4.16758546357762,NA,2.98751821780958,3.25777287964207,285
"38",2012,3.85246223496283,NA,2.75949761546403,3.05519518364606,285
"39",2013,3.65089701406025,NA,2.60997935802103,3.05537650110354,285
"40",2014,3.37221518920527,NA,2.40860360821271,2.88502735949407,285
"41",2015,3.0082208078778,NA,2.15830640136032,2.30219169159663,285
"42",2016,2.93574109119315,NA,2.11621271964627,2.3606710519595,285
"43",2017,3.10252438992018,NA,2.22751157368044,2.34630416790764,285
"44",2018,3.69593199520707,NA,2.6497233229992,2.90184187895413,285
"45",2019,2.72208704271516,NA,1.97995223565199,2.12901094798603,285
"46",2021,1.48124752389087,NA,1.06134271066465,1.16494989800488,285
"47",2022,2.67326234908284,NA,1.91485062764056,2.14238820964255,285
