"model","year","borealization_index"
"ACCESS-CM2",1970,-0.906734046812669
"ACCESS-CM2",1970,-0.260437103482856
"ACCESS-CM2",1970,-0.658312806876649
"ACCESS-CM2",1971,-1.48506105698122
"ACCESS-CM2",1971,-0.377664686167895
"ACCESS-CM2",1971,-0.250528450873925
"ACCESS-CM2",1971,0.416234233143759
"ACCESS-CM2",1972,-1.60407299224624
"ACCESS-CM2",1972,-1.71850977373286
"ACCESS-CM2",1972,-1.86692592093485
"ACCESS-CM2",1972,-1.63594367270897
"ACCESS-CM2",1973,-1.8480984778454
"ACCESS-CM2",1973,-1.99646814556558
"ACCESS-CM2",1973,-2.50579286310592
"ACCESS-CM2",1973,-0.861862725624599
"ACCESS-CM2",1974,0.0212976711653966
"ACCESS-CM2",1974,-0.314118491382224
"ACCESS-CM2",1974,-2.29017328829618
"ACCESS-CM2",1974,-0.802032798985916
"ACCESS-CM2",1975,-1.46157256611166
"ACCESS-CM2",1975,-1.03691101894949
"ACCESS-CM2",1975,-0.448245418384257
"ACCESS-CM2",1975,-1.03961338507335
"ACCESS-CM2",1976,-1.85015396160656
"ACCESS-CM2",1976,-0.689565368947928
"ACCESS-CM2",1976,-2.79202607165297
"ACCESS-CM2",1976,-1.63454352680595
"ACCESS-CM2",1977,-0.325485506595047
"ACCESS-CM2",1977,-0.117212914595199
"ACCESS-CM2",1977,-0.203738802823861
"ACCESS-CM2",1977,-0.101615025742785
"ACCESS-CM2",1978,-0.913453868415595
"ACCESS-CM2",1978,0.101578815144588
"ACCESS-CM2",1978,-0.153851235346593
"ACCESS-CM2",1978,-0.975668660342732
"ACCESS-CM2",1979,-2.71790458183877
"ACCESS-CM2",1979,-2.35581009453026
"ACCESS-CM2",1979,-2.00694180617192
"ACCESS-CM2",1979,-1.36788265616999
"ACCESS-CM2",1980,-2.20418652853732
"ACCESS-CM2",1980,-2.5208772516153
"ACCESS-CM2",1980,-1.30718373189874
"ACCESS-CM2",1980,-1.39397332596685
"ACCESS-CM2",1981,0.247960053872132
"ACCESS-CM2",1981,0.323565108243825
"ACCESS-CM2",1981,0.382950838955281
"ACCESS-CM2",1981,-0.12705259280834
"ACCESS-CM2",1982,1.40403092673683
"ACCESS-CM2",1982,1.22491821788473
"ACCESS-CM2",1982,0.948652491896943
"ACCESS-CM2",1982,0.20181786596997
"ACCESS-CM2",1983,-0.0471977734253685
"ACCESS-CM2",1983,-0.161740179426494
"ACCESS-CM2",1983,-0.593447571592842
"ACCESS-CM2",1983,0.422596910812788
"ACCESS-CM2",1984,-1.28198863958934
"ACCESS-CM2",1984,-0.371671159839715
"ACCESS-CM2",1984,-1.78923372295073
"ACCESS-CM2",1984,-0.107051237990845
"ACCESS-CM2",1985,0.207743395965746
"ACCESS-CM2",1985,-0.461393223272055
"ACCESS-CM2",1985,-0.785604541499996
"ACCESS-CM2",1985,0.214465564997352
"ACCESS-CM2",1986,-0.614642950006851
"ACCESS-CM2",1986,-2.02522341706971
"ACCESS-CM2",1986,-1.43249906596601
"ACCESS-CM2",1986,-1.383068724503
"ACCESS-CM2",1987,-0.989497714970833
"ACCESS-CM2",1987,-0.755185725053153
"ACCESS-CM2",1987,-1.43918957472562
"ACCESS-CM2",1987,-0.19900167458672
"ACCESS-CM2",1988,-0.829624015405637
"ACCESS-CM2",1988,-0.233945807556633
"ACCESS-CM2",1988,0.437724093943554
"ACCESS-CM2",1988,-0.876618663934434
"ACCESS-CM2",1989,-0.801990467162614
"ACCESS-CM2",1989,-0.0575651555442078
"ACCESS-CM2",1989,-1.34303514387783
"ACCESS-CM2",1989,-2.09592176538707
"ACCESS-CM2",1990,0.335858704418379
"ACCESS-CM2",1990,-0.603417106854553
"ACCESS-CM2",1990,-1.51606609366045
"ACCESS-CM2",1990,-0.709535563628554
"ACCESS-CM2",1991,1.13801268480162
"ACCESS-CM2",1991,0.011043324114802
"ACCESS-CM2",1991,-0.826766664195763
"ACCESS-CM2",1991,0.015173479101049
"ACCESS-CM2",1992,-0.541026053311839
"ACCESS-CM2",1992,-1.00009216662385
"ACCESS-CM2",1992,-1.4877434761362
"ACCESS-CM2",1992,-1.75937745266735
"ACCESS-CM2",1993,-0.915673228202838
"ACCESS-CM2",1993,0.424078305276228
"ACCESS-CM2",1993,-1.33147729982305
"ACCESS-CM2",1993,-1.6416923422003
"ACCESS-CM2",1994,-1.21203603666597
"ACCESS-CM2",1994,-1.67118092442884
"ACCESS-CM2",1994,-0.532097841678684
"ACCESS-CM2",1994,-0.162535637014182
"ACCESS-CM2",1995,0.0646766927390023
"ACCESS-CM2",1995,-0.670848045366987
"ACCESS-CM2",1995,-0.434553462439968
"ACCESS-CM2",1995,-1.48658919847911
"ACCESS-CM2",1996,0.188076234490677
"ACCESS-CM2",1996,-0.476509299808965
"ACCESS-CM2",1996,0.0254770833622338
"ACCESS-CM2",1996,-0.804124203206163
"ACCESS-CM2",1997,-1.50499069123904
"ACCESS-CM2",1997,-0.993845600503376
"ACCESS-CM2",1997,-0.789624530404598
"ACCESS-CM2",1997,-1.75068135547298
"ACCESS-CM2",1998,-0.672337902480515
"ACCESS-CM2",1998,-0.63152906281687
"ACCESS-CM2",1998,-1.00457667227865
"ACCESS-CM2",1998,-0.316819628954124
"ACCESS-CM2",1999,-1.1781214680157
"ACCESS-CM2",1999,-1.03295256844488
"ACCESS-CM2",1999,-0.445560867665861
"ACCESS-CM2",1999,-1.09608995275493
"ACCESS-CM2",2000,-1.10213314945481
"ACCESS-CM2",2000,-0.617356957725663
"ACCESS-CM2",2000,0.285672603237135
"ACCESS-CM2",2000,0.219931746919361
"ACCESS-CM2",2001,-0.735336019587864
"ACCESS-CM2",2001,-0.659804674595819
"ACCESS-CM2",2001,0.0907057864578239
"ACCESS-CM2",2001,-0.433285509843474
"ACCESS-CM2",2002,-0.850897177611286
"ACCESS-CM2",2002,-1.83761134094438
"ACCESS-CM2",2002,0.475008179782709
"ACCESS-CM2",2002,-1.02422518554119
"ACCESS-CM2",2003,-0.216753390152196
"ACCESS-CM2",2003,-1.65516965877109
"ACCESS-CM2",2003,-1.02587580006893
"ACCESS-CM2",2003,-2.2972058714172
"ACCESS-CM2",2004,-0.644754400469008
"ACCESS-CM2",2004,-0.924181538739674
"ACCESS-CM2",2004,-0.625183069891773
"ACCESS-CM2",2004,-1.19855081086804
"ACCESS-CM2",2005,-2.33299622914235
"ACCESS-CM2",2005,-1.05757106352462
"ACCESS-CM2",2005,-1.63026409376382
"ACCESS-CM2",2005,-2.80453825110347
"ACCESS-CM2",2006,0.058580018586927
"ACCESS-CM2",2006,-0.928679846204268
"ACCESS-CM2",2006,-0.685110124824684
"ACCESS-CM2",2006,-0.779744654910588
"ACCESS-CM2",2007,-0.562955173141412
"ACCESS-CM2",2007,0.313628768980218
"ACCESS-CM2",2007,-2.47434291858891
"ACCESS-CM2",2007,-0.000290916536284103
"ACCESS-CM2",2008,-0.214303869303627
"ACCESS-CM2",2008,-1.13725709680138
"ACCESS-CM2",2008,-0.318308142689668
"ACCESS-CM2",2008,-0.442787877298246
"ACCESS-CM2",2009,-0.891531425722804
"ACCESS-CM2",2009,-0.762283006037717
"ACCESS-CM2",2009,0.0466388492489633
"ACCESS-CM2",2009,-0.367603763521754
"ACCESS-CM2",2010,-0.523195145997471
"ACCESS-CM2",2010,-1.79630835453387
"ACCESS-CM2",2010,-1.37705672936845
"ACCESS-CM2",2010,-2.02880555276707
"ACCESS-CM2",2011,-1.27290818141549
"ACCESS-CM2",2011,-2.01719425420606
"ACCESS-CM2",2011,-1.63883947853604
"ACCESS-CM2",2011,-1.72948223686394
"ACCESS-CM2",2012,-1.92966638761692
"ACCESS-CM2",2012,-0.756290858216826
"ACCESS-CM2",2012,-1.84191505155934
"ACCESS-CM2",2012,-1.78910085280395
"ACCESS-CM2",2013,-1.22373599038079
"ACCESS-CM2",2013,-0.891356139740784
"ACCESS-CM2",2013,-0.0628147900670549
"ACCESS-CM2",2013,-0.567717678915995
"ACCESS-CM2",2014,0.393689253054048
"ACCESS-CM2",2014,0.24247242253719
"ACCESS-CM2",2014,0.011183345916477
"ACCESS-CM2",2014,-0.258754545601343
"ACCESS-CM2",2015,2.53805529189714
"ACCESS-CM2",2015,0.385901033072823
"ACCESS-CM2",2015,0.752296069166369
"ACCESS-CM2",2015,-0.688273499526407
"ACCESS-CM2",2016,0.165604210285492
"ACCESS-CM2",2016,0.456343874326786
"ACCESS-CM2",2016,1.5043246256608
"ACCESS-CM2",2016,0.229968405518643
"ACCESS-CM2",2017,-0.354226594083654
"ACCESS-CM2",2017,0.43456081611672
"ACCESS-CM2",2017,-0.462269701734696
"ACCESS-CM2",2017,-1.49826101787685
"ACCESS-CM2",2018,2.00657623150261
"ACCESS-CM2",2018,1.20391421042862
"ACCESS-CM2",2018,1.79956577700682
"ACCESS-CM2",2018,0.170052778273022
"ACCESS-CM2",2019,1.52261995527602
"ACCESS-CM2",2019,0.627299843011555
"ACCESS-CM2",2019,0.61252755860981
"ACCESS-CM2",2019,1.13546098589163
"ACCESS-CM2",2020,0.716820663686744
"ACCESS-CM2",2020,-0.0410049219283529
"ACCESS-CM2",2020,0.19054542320605
"ACCESS-CM2",2020,1.03511010451527
"ACCESS-CM2",2021,0.988087665967708
"ACCESS-CM2",2021,-0.377583160910076
"ACCESS-CM2",2021,-0.143740387687202
"ACCESS-CM2",2021,-0.78639616791382
"ACCESS-CM2",2022,-3.06993946697291
"ACCESS-CM2",2022,-1.01628296738058
"ACCESS-CM2",2022,-1.40482182368874
"ACCESS-CM2",2022,0.0564343371013818
"ACCESS-CM2",2023,0.252688403042877
"ACCESS-CM2",2023,1.36569291793744
"ACCESS-CM2",2023,0.786610918105099
"ACCESS-CM2",2023,1.23737729975129
"ACCESS-CM2",2024,-2.04827697497801
"ACCESS-CM2",2024,-1.04657901023324
"ACCESS-CM2",2024,0.173608920948562
"ACCESS-CM2",2024,-0.992045612038009
"ACCESS-CM2",2025,-0.349250919345708
"ACCESS-CM2",2025,-0.262903083433681
"ACCESS-CM2",2025,-0.640169648495023
"ACCESS-CM2",2025,1.04357281743159
"ACCESS-CM2",2026,1.37939039655238
"ACCESS-CM2",2026,0.550607105349341
"ACCESS-CM2",2026,0.199545690302943
"ACCESS-CM2",2026,0.93657925829951
"ACCESS-CM2",2027,1.60823583908922
"ACCESS-CM2",2027,1.17523474150539
"ACCESS-CM2",2027,0.963252159013409
"ACCESS-CM2",2027,1.28074001658366
"ACCESS-CM2",2028,2.41718294047327
"ACCESS-CM2",2028,0.954492761341413
"ACCESS-CM2",2028,1.29076097080457
"ACCESS-CM2",2028,2.40299658958486
"ACCESS-CM2",2029,0.442765264425686
"ACCESS-CM2",2029,0.798748792998558
"ACCESS-CM2",2029,0.587399460077621
"ACCESS-CM2",2029,0.855195071438473
"ACCESS-CM2",2030,1.46358236147192
"ACCESS-CM2",2030,0.825254745970008
"ACCESS-CM2",2030,-0.00175477657930095
"ACCESS-CM2",2030,-0.459989271118543
"ACCESS-CM2",2031,-0.952259045061867
"ACCESS-CM2",2031,-0.0727362739451536
"ACCESS-CM2",2031,-0.604250705806844
"ACCESS-CM2",2031,0.15328074606853
"ACCESS-CM2",2032,0.592910660084071
"ACCESS-CM2",2032,-1.08105229480327
"ACCESS-CM2",2032,-0.167484156905626
"ACCESS-CM2",2032,-0.146175420026264
"ACCESS-CM2",2033,2.16478029463376
"ACCESS-CM2",2033,1.93679285071789
"ACCESS-CM2",2033,1.48968216021477
"ACCESS-CM2",2033,0.182371795400642
"ACCESS-CM2",2034,1.14167307369834
"ACCESS-CM2",2034,0.577611895569931
"ACCESS-CM2",2034,1.19120323424619
"ACCESS-CM2",2034,2.05211495920537
"ACCESS-CM2",2035,0.44710750860639
"ACCESS-CM2",2035,3.09942810262154
"ACCESS-CM2",2035,3.33933369269765
"ACCESS-CM2",2035,2.43370290691156
"ACCESS-CM2",2036,1.1960807008766
"ACCESS-CM2",2036,2.44781565706159
"ACCESS-CM2",2036,2.60598016289664
"ACCESS-CM2",2036,2.48186247750141
"ACCESS-CM2",2037,-0.627178984581853
"ACCESS-CM2",2037,-0.0689248116106529
"ACCESS-CM2",2037,1.09897205914621
"ACCESS-CM2",2037,-0.837459778977537
"ACCESS-CM2",2038,-1.19259775737691
"ACCESS-CM2",2038,0.0284868829238973
"ACCESS-CM2",2038,0.737478755717072
"ACCESS-CM2",2038,-0.855854929271036
