"","year","male3059.directfish","male3059.bycatch","male6095.directfish","male6095.bycatch","yfs.recruit","yfs.ssb","pollock.recruit","pollock.ssb","plaice.recruit","plaice.ssb"
"1",1995,0.046987032032882,3.10183430501897,4.35656360772595,4.65877226824,7.67368812926773,7.32061961185224,9.25770094333602,8.18144069571937,5.41610040220442,5.55129929267022
"2",1996,0.0555554135361514,2.59564607093782,4.46954962501374,4.76110512087301,8.56712556016445,7.26005868164272,10.0109059493034,8.19312372151207,5.4249500174814,5.52723223174545
"3",1997,0.0221024168776429,3.14579059667553,4.31926038578465,4.59871339333176,7.722677516468,7.22705955737367,10.3153653884165,8.12237124340655,4.79579054559674,5.51331986927037
"4",1998,0.0965875701732306,3.34100312260348,4.00668712910392,4.50454243923374,7.53101633207792,7.16293998584114,9.59811661721326,8.03947991910045,4.93447393313069,5.50019233658039
"5",1999,0.0209457298212753,2.07224337877077,3.55731807715879,3.80201370121793,7.72841577984104,7.14803909311394,9.6679550744091,8.04590874227078,4.94875989037817,5.50408685920454
"6",2000,0.00790517950711325,3.0894097900073,2.82516493770513,4.22840433266721,8.06117135969092,7.08350529039305,10.1133837437647,8.05038445306702,5.09375020080676,5.51258564892288
"7",2001,0.0117765374176225,2.10520869346198,2.76282758494833,4.03029499767385,7.62217459481762,7.13879556882295,10.4492072352794,8.05165955684195,5.23110861685459,5.52462789768345
"8",2002,0.0411179686083753,2.06734450581058,3.3864107401707,3.51761439291327,7.91425227874244,7.10338784983576,10.043379921188,7.986504938554,5.25227342804663,5.54010993883398
"9",2003,0.115204947961706,1.45483815116912,4.36060837194408,3.21672915574214,7.86441990499457,7.14994038373555,9.54952321729037,8.03624994213212,5.27811465923052,5.53794038250602
"10",2004,0.0215129596729919,2.73449028515387,2.88045532361622,3.57517241258485,8.28096440055337,7.18125728786008,8.75447630628417,8.06714903991011,5.78074351579233,5.52867880612072
"11",2005,0.0863885777264394,3.79458846848109,3.83330991745913,3.88975937393798,7.49498623395053,7.20895556723483,8.4142741374084,7.97762509878459,5.92692602597041,5.5124443908785
"12",2006,0.0679264812570701,1.79421974895513,3.84469909719093,3.60044687446794,7.58680353516258,7.24185327074189,9.3402276328106,7.77695440332244,4.99721227376411,5.48533620714361
"13",2007,0.0333598786224584,1.54890171775467,4.62219111568158,3.92004488407006,7.73587031995257,7.20026816424575,10.1017644761202,7.58273848891441,5.28320372873799,5.4496512257155
"14",2008,0.0175285696943636,1.50608608689352,4.10347261641222,3.72582852608452,7.646353722446,7.13429306336436,9.4785337678441,7.27931883541462,5.2040066870768,5.42041552310874
"15",2009,0.00293417874255947,0.863935955180238,3.72218623170154,3.61915734065707,7.84031298332016,7.17314572915806,10.7962435012766,7.33171496972647,4.51085950651685,5.40937114478645
"16",2010,0.0146223700860789,2.03670354046588,3.5401058506038,4.40865623013441,8.17329343896623,7.22051281755579,10.0033781353509,7.47420480649612,4.75359019110636,5.42040224709827
"17",2011,0.0027510333718898,2.4312323759208,2.33473607311909,3.89184394519313,7.16472037877186,7.13892255395793,9.50338305067006,7.66058546170326,4.34380542185368,5.43727028610029
"18",2012,0.213148564489324,2.6392089430336,3.33240900505161,3.72742758020537,6.36647044773144,7.13004246371914,9.3487971151232,7.80710329012598,5.24702407216049,5.44444595527238
"19",2013,0.0358354825120874,1.43390708539879,3.62519012533207,3.81380543733121,7.29979736675816,7.07830785217609,10.6889859941603,7.91534816926308,4.66343909411207,5.44587493090565
"20",2014,0.0488760413398382,2.14046384656782,4.24385306971187,3.51394864679922,7.4205789054108,7.04297649305385,10.814102205912,7.8739783796045,4.38202663467388,5.41842214930695
"21",2015,0.0783652370553783,2.74932138401597,4.39967355034359,3.57735913557967,7.92262357421729,7.06713227778098,9.83504809931361,7.85631957140659,4.8283137373023,5.38691872884084
"22",2016,0.0529496218585075,1.96193126786256,4.00320572651284,3.02512605438567,8.26410576372896,7.04418122833243,8.90109412160856,8.06337782236703,4.75359019110636,5.35242195554118
"23",2017,0.0152541109170556,1.37290335842686,4.04705346704864,3.02142691873206,8.38297584929643,7.06989963833727,9.17253465724028,8.19174002127746,5.97380961186926,5.30885663285556
"24",2018,0.158343819057615,3.67594944593782,4.63027587257332,4.75663529345725,7.65444322647011,6.96954627913834,9.73814109994814,8.090708716084,5.68017260901707,5.2507172439981
"25",2019,0.178530213115381,2.49323697253902,5.1652714482244,4.49566722658875,7.83794891602528,7.02156599095276,11.2884310015851,7.99900721324395,5.95064255258773,5.18255291717482
